case_history_id,printed_case_number,review_status,categories,evidence
bza-09-23-2b90c325ff,09-23,classified,parking_layout,Parking area proposed in front yard
bza-28-23-32856cc88a,28-23,classified,multiple_buildings|setbacks_yards,Multiple principal dwellings and setback deficiencies
bza-40-23-012c2b298a,40-23,classified,parking_supply,Three parking spaces deficient
bza-3-24-b561a47236,3-24,classified,multiple_buildings,One-principal-building rule
bza-7-24-5ad1c5fa16,7-24,classified,setbacks_yards,Front and side-yard setbacks
bza-22-24-5c0940c4c3,22-24,classified,setbacks_yards|use_spacing_separation,Gas-station setback and filling-station spacing
bza-23-24-52267c8cf9,23-24,classified,floor_area_bulk,Second floor wider than first-floor envelope
bza-26-24-8498a9e0ce,26-24,classified,setbacks_yards,Inter-building distance deficiency
bza-28-24-a82f3aaf57,28-24,classified,setbacks_yards|lot_dimensions|parking_layout,Building setback lot area and walkway width
bza-30-24-94d9984635,30-24,classified,use_spacing_separation,Outdoor-storage residential separation
bza-15-24-43336a40f9,15-24,classified,setbacks_yards|use_spacing_separation|screening_landscaping|parking_layout,Setbacks use spacing landscaping and parking design
bza-44-24-a72911911c,44-24,classified,setbacks_yards,Side-setback deficiencies
bza-46-24-04961161fb,46-24,unresolved,,Dimension name absent from extracted minutes
bza-48-24-4a6b166e25,48-24,unresolved,,Dimension name absent from extracted minutes
bza-53-24-56e59115b1,53-24,classified,multiple_buildings|setbacks_yards,Multiple principal buildings and inter-building distance
bza-79-24-03fe91ef07,79-24,classified,density_units|screening_landscaping,Occupancy capacity and mesh screening
bza-83-24-c9e72204a7,83-24,unresolved,,Cabaret dimensional standard absent
bza-4-25-34d6c95571,4-25,classified,use_spacing_separation,Overconcentration of similar vehicle-service uses
bza-3-25-36721a5eeb,3-25,classified,multiple_buildings,Maximum number of principal detached buildings
bza-12-25-67c0867482,12-25,classified,setbacks_yards,Carport side-property-line separation
bza-16-25-aaaaa5d0aa,16-25,unresolved,,Community-outreach-center dimensional standard absent
bza-17-25-97935d5a5c,17-25,unresolved,,House-and-garage dimensional standard absent
bza-26-25-7703d8a4a4,26-25,classified,use_spacing_separation,Vehicle-service use-spacing deficiency
bza-79-19-51772cbfc9,79-19,classified,administrative_or_community_appeal|floor_area_bulk|parking_supply,Administrative appeal with excessive square footage and deficient parking
