case_history_id,project_type_family,project_type_label,proposed_action,intensity_direction,urban_form_orientation,proposal_language_tone,housing_units,summary,evidence,confidence,alternative_type
bza-101-19-2b70c94d41,mixed_use,"Art gallery, bar, and cafe",change_of_use,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,,"Proposal to renovate a portion of an industrial building into an art gallery, bar, and cafe with outdoor seating.","['renovate a 5,430 square foot portion', 'into Art Gallery, bar and cafe space', '1,000 square of outdoor seating']",high,food_or_beverage
bza-102-19-118cde75ec,mixed_use,Retail store with second-floor offices,change_of_use,reduces_homes_or_activity,mixed_or_neutral,adverse,,"Proposal to convert a non-conforming store and dwelling into a retail space with second-floor offices, which faced criticism over parking and waste management.","['change a non-conforming Store & Dwelling', 'to non-conforming Retail with Offices', 'proposed parking ""does not work""']",high,retail_or_personal_service
bza-103-19-b51a4c7926,mixed_use,restaurant with residential loft,change_of_use,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,,Establishing a restaurant on the ground floor with a residential loft on the second floor of an existing building.,"['establish a Standard Restaurant', 'Loft on the 2nd floor of an existing 10,523 square foot building', 'Traditional Main Street Overlay District']",high,food_or_beverage
bza-104-19-3f504bb48a,cannabis_or_controlled_use,Medical marijuana provisioning center and processor,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,Proposal to establish a medical marijuana provisioning center and processor facility in an existing industrial building.,"['establish a Medical Marijuana Provisioning Center Facility', 'and a Medical Marijuana Processor Facility', 'in an existing 14,848 square foot building']",high,retail_or_personal_service
bza-105-19-6f26fdbf3e,religious,religious institution auxiliary building,expansion,adds_homes_or_activity,mixed_or_neutral,neutral,,Expand an existing religious institution campus by adding a new auxiliary building.,"['expand an existing two-building Religious Institution campus', 'adding a new 4,644 square foot auxiliary building']",high,institutional_or_civic
bza-106-17-de942bc315,cannabis_or_controlled_use,medical marijuana caregiver center,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,"Establish a medical marijuana caregiver center, which was denied due to its proximity to a park in a Drug Free Zone.","['medical marihuana caregiver center', 'identified as being in a Drug Free Zone']",high,retail_or_personal_service
bza-106-19-ac2502a929,mixed_use,80-story hotel with ground-floor retail,new_construction,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,,Proposal to demolish two existing buildings and construct an 80-story hotel with 228 guest rooms and ground-floor retail space.,"['demolish two existing buildings', 'construct an eighty-story Hotel', '228 guest rooms and 17,857 square feet of ground floor retail space']",high,retail_or_personal_service
bza-107-19-7c49964699,cannabis_or_controlled_use,Medical marijuana provisioning center and safety compliance facility,unclear,adds_homes_or_activity,mixed_or_neutral,neutral,,"Proposal to establish a medical marijuana provisioning center and safety compliance facility, which was deemed ineligible due to its location within a Drug Free Zone.","['proposed MMPC/Safety Compliance Facility', 'identified as being in a Drug Free Zone', 'ineligible to establish']",high,retail_or_personal_service
bza-108-19-9b26eee3a4,vehicle_oriented,"Used auto parts, dismantling, and auto repair facility",change_of_use,adds_homes_or_activity,automobile_oriented,neutral,,"Proposal to establish a used auto parts facility with indoor dismantling and auto repair in an existing building, with a condition to add interior landscaping.","['establish a Used Auto Parts Facility with Indoor Dismantling and Major Motor Vehicle Repair Facility', 'in an existing 13,200 square foot building', 'revise site plan to include 1,152 square feet of interior landscaping']",high,industrial_or_logistics
bza-109-19-877243d9d6,industrial_or_logistics,Junkyard addition to auto parts and repair facility,expansion,adds_homes_or_activity,industrial_or_freight_oriented,adverse,,"Proposal to add a junkyard to an existing auto parts and repair facility, denied due to existing site violations and negative neighborhood impact.","['add a Junkyard to an existing Used Auto Parts Sales', 'property owner had not cleaned up the site', 'use would have a negative effect on the neighborhood']",high,vehicle_oriented
bza-11-20-6f01bb250d,vehicle_oriented,gas station,expansion,adds_homes_or_activity,automobile_oriented,neutral,,Expanding and modifying an existing non-conforming gas station with a new canopy and building addition.,"['expand or modify a non-conforming Gas Station', 'building a new non-conforming Gas Station w/Canopy', '592 sq. ft. addition']",high,
bza-11-21-2065af5007,housing,Apartment buildings,new_construction,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,16.0,"Request for variances to construct two 8-unit multi-family buildings on vacant land with deficient parking, setbacks, and lot width.","['Construct two, eight-unit, two-story Multiple-Family buildings', 'existing vacant land', 'twelve total parking spaces are required; eight parking spaces are proposed']",high,
bza-11-22-50abfc40df,cannabis_or_controlled_use,"marijuana facility (retail, grower, processor)",change_of_use,adds_homes_or_activity,industrial_or_freight_oriented,neutral,0.0,"Establish a marijuana retail, grower, and processor facility in an existing industrial building.","['establish a 2,005 square foot Marijuana Retail/Provisioning Facility', '11,029 square foot Marijuana Grower Facility', 'existing 13,580 square foot building']",high,
bza-11-23-100fdb0043,retail_or_personal_service,retail store with alcohol sales,expansion,adds_homes_or_activity,mixed_or_neutral,neutral,,Proposing to expand and intensify an existing nonconforming retail use that holds an SDM license.,"['expand and intensify an existing nonconforming use', 'Retail with SDM']",high,
bza-11-24-fe29e0d378,vehicle_oriented,Used Auto Sales Lot,expansion,adds_homes_or_activity,automobile_oriented,neutral,,Expanding an existing used auto sales lot by constructing a new 962 square foot building.,"['expansion of the legal existing nonconforming use (Used Auto Sales Lot)', 'construct a new 962 square foot building']",high,
bza-11-25-9414020318,food_or_beverage,tea shop and restaurant,change_of_use,maintains_existing_activity,mixed_or_neutral,neutral,,Change of nonconforming use from retail to a tea shop and standard restaurant.,['change from one nonconforming use to another nonconforming use. (Retail to Tea Shop/Standard Restaurant)'],high,retail_or_personal_service
bza-110-19-6035ce5f01,institutional_or_civic,neighborhood center,new_construction,adds_homes_or_activity,mixed_or_neutral,neutral,0.0,"Construct a new 19,159 square foot building to establish a non-profit neighborhood center.","['Construct a 19,159 square foot building', 'establish a Neighborhood Center Non-Profit']",high,
bza-111-19-7252fe4512,mixed_use,neighborhood center with offices and living space,change_of_use,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,,Convert a vacant former church building into a non-profit neighborhood center with accessory offices and living space.,"['convert a vacant two-story former church building', 'Neighborhood Center Non Profit Center with accessory offices and living space']",high,institutional_or_civic
bza-112-19-8bdcb1c11b,retail_or_personal_service,retail stores,new_construction,adds_homes_or_activity,automobile_oriented,neutral,0.0,"Develop retail stores with potential drive-up or drive-through facilities in a 38,240 square foot building.","['develop Retail Stores', 'with or without drive-up or drive through facilities']",medium,site_or_building_alteration
bza-116-16-902857b7a3,cannabis_or_controlled_use,Medical Marihuana Caregiver Center,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,Establish a medical marijuana caregiver center in a unit of an existing building.,"['establish a Medical Marihuana Caregiver Center (MMCC) in an approximate 1,078 square foot unit of an existing eight unit']",high,retail_or_personal_service
bza-116-17-28da9b4180,cannabis_or_controlled_use,Medical Marihuana Caregiver Center,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,Establish a medical marijuana caregiver center in an existing building.,"['establish a Medical Marihuana Caregiver Center in an existing 1,140 square foot building']",high,retail_or_personal_service
bza-12-19-8f68a059f3,retail_or_personal_service,Rental Hall,change_of_use,adds_homes_or_activity,automobile_oriented,neutral,,Establish a rental hall on the second floor of an existing building with accessory parking.,"['establish a 3,492 square foot Rental Hall', 'on the second floor of an existing 13,600 square foot building', 'along with accessory parking']",high,food_or_beverage
bza-12-20-f9060d3522,vehicle_oriented,auto repair facility,change_of_use,adds_homes_or_activity,automobile_oriented,adverse,,"Appeal of a denial to establish an auto repair facility, which was denied due to illegal outdoor storage, code violations, and adverse impacts on the surrounding area.","['establishment of a Minor Motor Vehicle Repair Facility', 'illegally storing used tires outside', 'injurious to the use and enjoyment of other properties']",high,
bza-12-21-ad158761eb,housing,Apartment building,new_construction,adds_homes_or_activity,mixed_or_neutral,neutral,,Request for variances to demolish a single-family home and construct a new two-story multi-family dwelling with surface parking.,"['Demolish an existing single-family dwelling', 'construct a new two story, 4,499 square foot Multiple-Family Dwelling']",high,demolition
bza-12-24-a6fc69b387,industrial_or_logistics,trade services,change_of_use,maintains_existing_activity,mixed_or_neutral,neutral,,The petitioner proposes to change an existing nonconforming office and storage facility to a trade services use.,['change an existing non conforming (Office and Storage Facility) and parking to Trade Services'],high,office_or_medical
bza-12-25-67c0867482,housing,carport,site_or_building_alteration,maintains_existing_activity,automobile_oriented,neutral,,Construct a carport at a residential property.,['construction of a Car Port'],high,vehicle_oriented
bza-13-19-d1848d1cb5,vehicle_oriented,Used auto sales lot,change_of_use,maintains_existing_activity,automobile_oriented,neutral,,Changing a nonconforming car wash into a nonconforming used auto sales lot.,"['change a nonconforming (current legal use of 12730 Joy Road a Motor Vehicle Car Wash', 'to a nonconforming Used Auto Sales']",high,
bza-13-21-993080da6c,housing,single-family dwelling,new_construction,adds_homes_or_activity,mixed_or_neutral,neutral,1.0,The petitioner requests a side setback variance to relocate an existing single-family dwelling onto a vacant lot.,"['relocate an existing, 1,450 square foot, single-family dwelling', 'on a 30’ X 99’ (2,970 square foot) vacant lot']",high,site_or_building_alteration
bza-13-22-b4f37988c4,office_or_medical,employee recruitment center and parking lot,change_of_use,adds_homes_or_activity,automobile_oriented,neutral,0.0,Establish an employee recruitment center in an existing building and construct a 19-space accessory parking lot on adjacent vacant land.,"['establish an Employee Recruitment Center', 'existing 13,600 square foot building', '19-space Accessory Parking Lot on existing vacant land']",high,parking_only
bza-13-23-fa2355c165,housing,multi-family affordable housing complex,new_construction,adds_homes_or_activity,mixed_or_neutral,neutral,48.0,Developing a 48-unit affordable multi-family housing complex with an accessory clubhouse across four buildings.,"['develop a multi-family housing', '48 Multi-family dwelling units in four separate buildings', '700 square foot accessory clubhouse building']",high,
bza-13-24-797c117868,housing,residential garage,new_construction,maintains_existing_activity,automobile_oriented,neutral,0.0,Construction of a 480 square foot residential garage that exceeds lot coverage limits.,"['480 sq. ft structure (garage)', 'exceeds the required percentage for a Residential lot']",high,
bza-13-25-2c39937285,institutional_or_civic,substance abuse treatment facility and pre-release center,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,Establish a pre-release adjustment center and residential substance abuse service facility in an existing building.,"['establish a Pre-release Adjustment Center and Residential Substance Abuse Service Facility in an existing 3,400 square foot building']",high,housing
bza-14-17-07ea6a1a53,cannabis_or_controlled_use,medical marijuana caregiver center,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,Request for a locational variance to establish a medical marijuana caregiver center that is too close to a controlled use and religious institutions.,"['establish a Medical Marihuana Caregiver Center', 'within 1,000 radial feet of one Controlled Use', 'and three (3) Religious Institutions']",high,retail_or_personal_service
bza-14-19-184cee7e49,retail_or_personal_service,Rental Hall and Dance Studio,expansion,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,,Add a rental hall to an existing dance studio without providing the required off-street parking.,"['add a Rental Hall to an existing Dance Studio', 'fifty-one off-street parking spaces are required, 0 spaces are provided']",high,recreation_or_open_space
bza-14-24-3f7d9a8551,food_or_beverage,fast-food restaurant with drive-through,new_construction,adds_homes_or_activity,automobile_oriented,neutral,,Demolition of an existing building to construct a new fast-food restaurant with a drive-through.,"['demolishing an existing building', 'construct a new 2,950 square foot Restaurant, fast-food, with drive-up or drive-through facilities']",high,
bza-14-25-61fbd5eb1b,institutional_or_civic,non-profit neighborhood center and outdoor recreation facility,expansion,adds_homes_or_activity,mixed_or_neutral,neutral,,Establish and expand a non-profit neighborhood center and develop an adjacent outdoor recreation facility.,"['establish a Neighborhood Center, Non-Profit in an existing building and expand its footprint', 'develop an Outdoor Recreation Facility on an adjacent']",high,recreation_or_open_space
bza-15-19-dccd43859a,industrial_or_logistics,Junkyard and Auto Parts Facility,change_of_use,adds_homes_or_activity,industrial_or_freight_oriented,neutral,,Establish a junkyard with indoor dismantling and used auto parts facility in two existing buildings.,"['establishment of a Junkyard with Indoor Dismantling and Used Auto Parts Facility', 'in two existing buildings']",high,vehicle_oriented
bza-15-24-43336a40f9,vehicle_oriented,Light Duty Vehicle Service Establishment,expansion,adds_homes_or_activity,automobile_oriented,neutral,,Expanding an existing light duty vehicle service establishment to include off-street parking on the same zoning lot.,"['expand an existing Light Duty Vehicle Service Establishment', 'include off street parking on the same zoning lot']",high,parking_only
bza-15-25-aa055fbabb,cannabis_or_controlled_use,marijuana grower facility,change_of_use,adds_homes_or_activity,industrial_or_freight_oriented,neutral,,"Establish a 4,150 square foot marijuana grower facility.","['establish a 4,150 square foot Marijuana Grower Facility (MGF)']",high,industrial_or_logistics
bza-16-19-80a654a895,vehicle_oriented,Motor Vehicle Washing Facility,expansion,adds_homes_or_activity,automobile_oriented,neutral,,Construct an addition to an existing motor vehicle washing and steam cleaning facility.,"['construct a 1,138 sq. ft. addition', 'to an existing 1,680 sq. ft. building housing a Motor Vehicle Washing and Steam Cleaning Facility']",high,retail_or_personal_service
bza-16-21-6706391ca7,vehicle_oriented,motor vehicle washing and detailing facility,new_construction,adds_homes_or_activity,automobile_oriented,neutral,,The petitioner requests variances to establish a motor vehicle washing and steam cleaning facility with a possible outdoor activity area.,"['establish a Motor Vehicle Washing and steam cleaning facility', 'vehicle detailing, with high efficiency steam cleaning']",high,change_of_use
bza-16-23-d69ef06e72,cannabis_or_controlled_use,marijuana retail facility,change_of_use,adds_homes_or_activity,mixed_or_neutral,adverse,,Appealing the denial of a marijuana retail facility that was rejected due to its proximity to a park and Drug Free Zone.,"['Establishment of a Marijuana Retail/Provisioning Facility', 'located within approximately 446 radial feet from Rogell Park', 'Marijuana facilities cannot exist within 1,000 feet of a Drug Free Zone']",high,retail_or_personal_service
bza-16-24-5938101fbe,vehicle_oriented,vehicle repair shop,change_of_use,adds_homes_or_activity,automobile_oriented,neutral,,Establishment of a light duty vehicle service establishment in an existing building.,"['establish a Light Duty Vehicle Service Establishment in an existing 4,950 square feet building']",high,
bza-16-25-aaaaa5d0aa,institutional_or_civic,community outreach center,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,The petitioner is requesting dimensional variances to establish a community outreach center with youth trade programs.,"['establish a community outreach center', 'youth programs for carpentry and millwright trades']",high,
bza-17-19-f5959a3b07,vehicle_oriented,Towing and Vehicle Storage Yard,site_or_building_alteration,maintains_existing_activity,automobile_oriented,neutral,,Modify a previous grant for a towing and vehicle storage yard to allow a metal wall instead of a masonry wall.,"['MODIFY a previous BSEED Grant', 'legalized a Police ""A-BAN"" Towing and Vehicle Storage Yard', 'a metal wall is proposed along the southern portion']",high,industrial_or_logistics
bza-17-20-4f7a090036,housing,senior housing development,new_construction,adds_homes_or_activity,mixed_or_neutral,neutral,105.0,"Construction of a 105-unit senior housing development across three buildings, requiring setback variances.","['proposed senior housing development', 'new construction of a residential building with 73 units', 'total of 105 multiple-dwelling units']",high,
bza-17-21-b8c081e0c9,institutional_or_civic,child caring institution,change_of_use,maintains_existing_activity,mixed_or_neutral,neutral,,Change of a nonconforming use from a veterans housing and medical facility to a child caring institution for up to 40 children.,"['change from one nonconforming use to another nonconforming use', 'proposed nonconforming use is Child Caring Institution', 'Up to 40 children will be cared for at this facility']",high,
bza-17-23-eb9c5fba42,parking_only,accessory parking lot,new_construction,adds_homes_or_activity,automobile_oriented,adverse,,Proposal to construct a 13-space accessory parking lot on vacant land to serve an adjacent multi-family dwelling.,"['develop a 13-space accessory parking lot on existing vacant land', 'could pose an adverse public health, noise, and safety hazard']",high,
bza-17-24-ce52cb3966,institutional_or_civic,childcare center,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,Establishment of a childcare center with a proposed play area and deficient parking.,"['establish [already for] the proposed childcare center', 'SLU application for a play area']",high,retail_or_personal_service
bza-17-25-97935d5a5c,housing,single-family residence,new_construction,adds_homes_or_activity,automobile_oriented,neutral,1.0,The petitioner is requesting dimensional variances to construct a new single-family home with an attached garage.,['construction of single family residence with attached garage'],high,
bza-18-21-2fef649f8a,industrial_or_logistics,junkyard and auto dismantling facility,continue_or_legalize_existing_condition,maintains_existing_activity,industrial_or_freight_oriented,adverse,,"The petitioner appeals the denial to establish a junkyard and auto dismantling facility, which is currently operating illegally with several site deficiencies.","['establishment of a Junkyard, Used Auto Parts Sales and Indoor Dismantling', 'operating as an illegal junkyard', 'site has several deficiencies']",high,
bza-18-23-535a07c23f,vehicle_oriented,gas station with carryout restaurant and retail,new_construction,adds_homes_or_activity,automobile_oriented,neutral,,Proposal to demolish an existing gas station and construct a larger motor vehicle filling station with a carryout restaurant and retail.,"['demolish an existing 1,296 square foot gas station', 'construct a new 2,870 square foot Motor Vehicle Filling Station with carryout restaurant']",high,retail_or_personal_service
bza-18-24-b7d9862137,food_or_beverage,bakery,new_construction,adds_homes_or_activity,mixed_or_neutral,neutral,,"The petitioner proposes to construct a new 3,753 square foot bakery and requests dimensional variances for setbacks, parking, screening, and loading.","['construct a 3,753 square foot Bakery']",high,retail_or_personal_service
bza-18-25-cb4f866709,vehicle_oriented,used motor vehicle sales and repair garage,continue_or_legalize_existing_condition,maintains_existing_activity,automobile_oriented,neutral,,The petitioner is appealing an order to remove unapproved corrugated fencing at an existing auto sales and repair facility.,"['remove unapproved materials (Corrugated fencing)', 'Legal Used Motor Vehicles Sales and Major Motor Vehicle Repair Garage']",high,
bza-184-17-b3de95c28c,housing,townhouses,new_construction,adds_homes_or_activity,mixed_or_neutral,neutral,18.0,Construct two three-story townhouse buildings with a total of 18 units.,"['construct two, three story townhouse buildings (18 units)']",high,
bza-19-21-15219721d5,housing,townhouse,new_construction,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,4.0,The petitioner requests dimensional variances to construct a four-unit townhouse on vacant land.,"['construct a four unit, 4,260 square foot Townhouse on an existing vacant land']",high,
bza-19-23-ed15514286,retail_or_personal_service,rental hall,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,Proposal to establish a rental hall in an existing building.,"['establish a Rental Hall in an existing 3,080 square foot building']",high,other
bza-19-24-5152521f4c,other,screening wall,new_construction,unclear_or_not_applicable,unclear_or_not_applicable,neutral,,"The petitioner proposes to construct a 20-foot high screening wall, which exceeds the allowed 8-foot height.","['proposed wall that is excessive in height', '20’ HIGH PROPOSED']",high,
bza-2-19-dafba32633,retail_or_personal_service,Retail Store,new_construction,adds_homes_or_activity,automobile_oriented,neutral,,"Demolish an existing 2,000 square foot retail store to construct a new, expanded 4,035 square foot retail store with accessory parking.","['demolish an existing non-conforming 2,000 square foot Retail Store', 'construct new 4,035 square foot expanded and intensified non-conforming Retail Store', 'with SDD and accessory parking']",high,food_or_beverage
bza-2-20-b0139b3b1f,vehicle_oriented,Used car lot expansion,expansion,adds_homes_or_activity,automobile_oriented,adverse,,"Proposal to expand an existing used car lot, denied due to numerous property maintenance violations and potential hardship to the adjacent residential neighborhood.","['expansion of an existing Used Motor Vehicle Sales Lot', 'violation of numerous property maintenance codes', 'pose an undue hardship to the adjacent residential neighborhood']",high,
bza-2-24-a52a3386d9,retail_or_personal_service,hookah lounge,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,Establish a hookah lounge in an existing building.,['establish a hookah lounge in the existing building'],high,food_or_beverage
bza-20-19-f02fd63021,cannabis_or_controlled_use,Medical Marihuana Caregiver Center,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,Establish a Medical Marihuana Caregiver Center in an 800-square foot building.,"['establish a Medical Marihuana Caregiver Center (MMCC)', 'in an 800-square foot building']",high,
bza-20-21-d70f25cae4,cannabis_or_controlled_use,medical marijuana provisioning and compliance facility,change_of_use,adds_homes_or_activity,mixed_or_neutral,adverse,,"The petitioner appeals the denial to establish medical marijuana provisioning and compliance facilities in an existing building, citing community opposition and traffic concerns.","['establishment of a Medical Marihuana Provisioning Center Facility', 'injurious to the use and enjoyment of other properties', 'detrimental effect upon vehicular turning patterns']",high,
bza-20-23-dab8c7b9c0,housing,residential carport,continue_or_legalize_existing_condition,maintains_existing_activity,automobile_oriented,neutral,,Request for dimensional variances to legalize an existing residential carport.,['legalize a residential carport'],high,
