span_id	source_ref	kind	status	proposition	ontology_terms	competency_test
50-1-7:3	§50-1-7	power	unresolved	PDD must interpret uncertain contradictory or conflicting mapped boundary by spirit and purpose	PDD,InterpretivePower,MapAmbiguity,DistrictBoundary	requires discretionary finding; no deterministic outcome
50-1-7:4	§50-1-7	boundary	executable	Vacated right-of-way joins adjoining districts; former centerline divides differing districts	RightOfWay,Vacation,AdjoiningProperty,DistrictBoundary,Centerline	same districts absorb all; differing districts split centerline
50-1-8:p1	§50-1-8	precedence	executable	More restrictive Chapter or state/federal rule controls to extent permitted by law	Provision,GovernmentLevel,Restrictiveness,LegalPermission	chapter stricter/chapter looser
50-1-9:p1	§50-1-9	precedence	executable	More restrictive rule controls internal or City Code conflict	Provision,CityCode,Restrictiveness,Conflict	select stricter rule
50-1-9:p2	§50-1-9	precedence	executable	Article VIII-XI use lists override conflicting Article XII use-table marking or omission	LandUse,UseList,UseTable,PermissionMarking,Conflict	list controls C R or blank conflict
50-1-10:p1	§50-1-10	intent	declarative	Chapter does not intend to disturb private land agreements	PrivateAgreement,Easement,Covenant,DeedRestriction	preserve noninterference intent
50-1-10:p2	§50-1-10	precedence	executable	Chapter controls when more restrictive than private agreement	Provision,PrivateAgreement,Restrictiveness	chapter stricter controls
50-1-10:p3	§50-1-10	precedence	executable	Private agreement controls when more restrictive than Chapter	Provision,PrivateAgreement,Restrictiveness	agreement stricter controls
50-1-10:p4	§50-1-10	responsibility	executable	City has no responsibility to monitor or enforce private agreements	City,PrivateAgreement,Monitoring,Enforcement	monitoring/enforcement duty absent
50-1-11:p1	§50-1-11	transition	executable	Prior-ordinance violation continues unless activity complies with Chapter	Violation,PriorOrdinance,Activity,Compliance,Penalty,Enforcement	current compliance extinguishes continued violation
50-1-12:p1	§50-1-12	transition	executable	Prior legal nonconformity continues while originating situation exists	LegalNonconformity,PriorOrdinance,Situation	continued situation preserves status
50-1-12:p2	§50-1-12	transition	executable	Prior nonconformity becoming conforming under Chapter loses nonconforming status	LegalNonconformity,Conformity,Chapter	current conformity extinguishes status
50-1-13:1	§50-1-13	transition	executable	Valid May 28 2005 approvals survive to expiration and permit then-current standards while valid and un-lapsed	Approval,Permit,EffectiveDate,Expiration,DevelopmentStandard	valid survives; lapse blocks reliance
50-1-13:2	§50-1-13	transition	executable	Uses valid May 28 2005 remain valid under authorizing terms and controls	Use,Approval,Grant,Resolution,Ordinance,Condition	valid use retains authorization terms
50-1-13:3	§50-1-13	transition	executable	Chapter requires no change to structure plans construction or use with pre-effective-date building permit	Structure,Plan,Construction,Use,BuildingPermit,EffectiveDate	prior permit shields project
50-1-13:4	§50-1-13	power	executable	Original body may grant one extension up to one year if approval findings remain valid	DecisionMakingBody,Approval,Extension,Finding,Duration	12 months first extension allowed; second or 13 months denied
50-1-13:5	§50-1-13	transition	executable	Reapplication after expired project approval uses standards at reapplication	Application,ExpiredApproval,DevelopmentStandard,reapplication_date	expired reapplication selects current standards
50-1-14:1a	§50-1-14	transition	executable	Complete pre-May-28 application pending at enactment may at applicant option use prior ordinance wholly	Application,Completeness,PendingStatus,ApplicantOption,PriorOrdinance	all three predicates enable option
50-1-14:1b	§50-1-14	transition	executable	Approved opted project uses standards when complete application submitted	Project,Approval,DevelopmentStandard,SubmissionDate	approval attaches submission-date standards
50-1-14:1c	§50-1-14	transition	executable	Reapplication for expired permit uses standards at reapplication	Application,ExpiredPermit,DevelopmentStandard,reapplication_date	expired reapplication selects current standards
50-1-14:2	§50-1-14	transition	executable	Project without accepted-complete pre-effective application is subject to all Chapter requirements	Project,Application,Acceptance,Completeness,EffectiveDate	missing timely accepted-complete application selects Chapter
50-1-15:p1	§50-1-15	severability	executable	Invalidity ruling leaves remaining portions unaffected	Court,CourtHolding,Invalidity,Provision,Chapter	invalid one portion retains others
50-1-15:p2	§50-1-15	counterfactual	declarative	Each portion would have been adopted regardless of invalidity of others	LegislativeIntent,Provision,Adoption,Invalidity	preserve express counterfactual intent
50-1-16-40	§§50-1-16—50-1-40	reserved	reserved	Sections reserved	ReservedSectionRange	no propositions generated

